player,team,total_xt_added,positive_actions,avg_xt_per_action
Arial Benabent Mendy,Clermont Foot,0.21132526308390806,34,0.00621544891423259
Danilo Luís Hélio Pereira,Paris Saint-Germain,0.7721931142033346,115,0.00671472273220291
Jason Berthomier,Clermont Foot,0.34897011574199666,24,0.01454042148924986
Alidu Seidu,Clermont Foot,0.012004256272386844,9,0.0013338062524874271
Jean-Claude Billong,Clermont Foot,0.04832942263733882,23,0.002101279245101688
Saîf-Eddine Khaoui,Clermont Foot,0.12268168784687077,5,0.024536337569374154
Akim Zedadka,Clermont Foot,0.2496857921099249,41,0.006089897368534753
Mohamed Bayo,Clermont Foot,0.132214033018417,11,0.012019457547128819
Arthur Desmas,Clermont Foot,0.04212581153091362,16,0.002632863220682101
Jodel Dossou,Clermont Foot,0.17156723934140977,21,0.008169868540067132
Jim Allevinah,Clermont Foot,0.17719851155698396,12,0.014766542629748663
Georginio Wijnaldum,Paris Saint-Germain,0.033809902665880444,5,0.006761980533176089
Lucas Da Cunha,Clermont Foot,0.0967260546348101,7,0.013818007804972872
Thilo Kehrer,Paris Saint-Germain,0.20649270508733758,45,0.004588726779718613
Oriol Busquets Mas,Clermont Foot,0.0184511742050624,4,0.0046127935512656
Juan Bernat Velasco,Paris Saint-Germain,0.12146493905387358,22,0.00552113359335789
Edouard Michut,Paris Saint-Germain,0.000677625680338502,3,0.00022587522677950064
Marcos Aoás Corrêa,Paris Saint-Germain,0.6777546009395572,135,0.005020404451404128
Jean-Ricner Bellegarde,Strasbourg,0.53618553624789,52,0.010311260312459424
Sanjin Prcić,Strasbourg,0.331654157396545,41,0.008089125790159635
Alexander Djiku,Strasbourg,0.18560360476239338,38,0.004884305388484036
Lucas Perrin,Strasbourg,0.32512789546458326,29,0.011211306740158043
Frédéric Guilbert,Strasbourg,0.7252689448374656,36,0.02014635957881849
Adrien Thomasson,Strasbourg,0.229857660201359,33,0.006965383642465424
Gerzino Nyamsi,Strasbourg,0.29398979778849244,44,0.0066815863133748285
Kevin Gameiro,Strasbourg,0.2770982080042004,23,0.012047748174095669
Matz Sels,Strasbourg,0.026825248562860612,13,0.0020634806586815853
Dimitri Liénard,Strasbourg,0.5576690096094911,37,0.01507213539485111
Ludovic Ajorque,Strasbourg,0.09247834269809448,9,0.010275371410899386
Maxime Le Marchand,Strasbourg,0.0099690400896719,3,0.0033230133632239666
Habibou Mouhamadou Diallo,Strasbourg,0.13552070459663473,3,0.045173568198878244
Ibrahima Sissoko,Strasbourg,0.12134480380866314,21,0.005778323990888721
Jean Eudès Aholou,Strasbourg,0.08281821350659593,10,0.008281821350659593
Anthony Caci,Strasbourg,0.15532545897397426,7,0.02218935128199632
Ángel Fabián Di María Hernández,Paris Saint-Germain,0.6978849431774837,43,0.016229882399476366
Leandro Daniel Paredes,Paris Saint-Germain,0.6044723580771916,93,0.006499702775023566
Jens-Lys Michel Cajuste,Stade de Reims,0.05407308933592461,14,0.0038623635239946152
Yunis Abdelhamid,Stade de Reims,0.2237728517899152,42,0.005327925042617029
Maxime Busi,Stade de Reims,0.5465479814479434,59,0.009263525109287176
Bradley Locko,Stade de Reims,0.10152214026768482,28,0.0036257907238458863
Nathanaël Mbuku,Stade de Reims,0.1866210780846687,12,0.015551756507055725
Predrag Rajković,Stade de Reims,0.0398038229304261,11,0.0036185293573114635
Thomas Foket,Stade de Reims,0.18204638866857828,23,0.007915060376894708
Wout Faes,Stade de Reims,0.1075668350542439,27,0.003983956853860885
Azor Matusiwa,Stade de Reims,0.2884946747320032,34,0.008485137492117741
Keylor Navas Gamboa,Paris Saint-Germain,0.03586317464723444,21,0.001707770221296878
Andreaw Gravillon,Stade de Reims,0.08412745839544737,26,0.003235671476747976
Moreto Moro Cassamã,Stade de Reims,0.05983412909663495,15,0.003988941939775664
Mauro Emanuel Icardi Rivero,Paris Saint-Germain,0.09875325488121849,6,0.016458875813536413
Dion Lopy,Stade de Reims,0.03302744411844835,9,0.003669716013160928
Martin Adeline,Stade de Reims,0.10753328405808255,16,0.006720830253630159
Anastasios Donis,Stade de Reims,0.1661719814849044,10,0.01661719814849044
Julian Draxler,Paris Saint-Germain,0.09021850262667726,12,0.007518208552223105
Ander Herrera Agüera,Paris Saint-Germain,0.08001731132199105,12,0.006668109276832587
Alexis Flips,Stade de Reims,0.0016962589968226773,2,0.0008481294984113387
Jessica Carter,England Women's,0.6936085585285126,99,0.0070061470558435614
Catalina Thomas Coll Lluch,Spain Women's,0.05184967025193668,17,0.003049980603055099
Laia Codina Panedas,Spain Women's,0.07239378011340498,39,0.0018562507721385894
Jennifer Hermoso Fuentes,Spain Women's,0.48868096283640794,41,0.01191904787405873
Alba María Redondo Ferrer,Spain Women's,0.1506682268454404,8,0.01883352835568005
Salma Paralluelo Ayingono,Spain Women's,0.16982009285738928,17,0.009989417226905252
Lauren James,England Women's,0.21440789478056677,17,0.012612229104739222
Oihane Hernández Zurbano,Spain Women's,0.13384096905994744,9,0.014871218784438605
Ivana Andrés Sanz,Spain Women's,0.03304228060657985,6,0.0055070467677633085
Alexia Putellas Segura,Spain Women's,0.03957963391521845,7,0.005654233416459779
Bethany England,England Women's,0.015914930738244053,3,0.005304976912748018
Ellie Madison Carpenter,Australia Women's,0.7748417179088963,87,0.008906226642630992
Clare Elizabeth Polkinghorne,Australia Women's,0.20843523109529896,58,0.0035937108809534304
Elin Ingrid Johanna Rubensson,Sweden Women's,0.3129561176996727,35,0.008941603362847791
Stephanie-Elise Catley,Australia Women's,1.6760517215907118,113,0.014832316120271785
Kyra Lillee Cooney-Cross,Australia Women's,1.5911823214328522,72,0.02209975446434517
Caitlin Jade Foord,Australia Women's,1.0106097417360442,54,0.018714995217334152
Katrina Gorry,Australia Women's,0.4851021426239201,48,0.010106294637998335
Mackenzie Arnold,Australia Women's,0.1926772965420476,45,0.004281717700934391
Zecira Musovic,Sweden Women's,0.15934557531114152,20,0.007967278765557076
Samantha May Kerr,Australia Women's,0.5753029795036257,32,0.017978218109488305
Hayley Emma Raso,Australia Women's,0.3189100817229049,19,0.016784741143310786
Mary Boio Fowler,Australia Women's,0.6151736264420886,49,0.012554563804940584
Clare Hunt,Australia Women's,0.4967617050097987,63,0.007885106428726963
Cortnee Brooke Vine,Australia Women's,0.5067835859958211,24,0.021115982749825877
Emily Louise van Egmond,Australia Women's,0.23798099498142716,16,0.014873812186339198
Alexandra Chidiac,Australia Women's,0.07633444252670367,5,0.015266888505340734
Courtney Jade Nevin,Australia Women's,0.05060730156057588,5,0.010121460312115176
